Time Stamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL
milliseconds	m/(s^2) *	m/(s^2) *	m/(s^2) *	degrees/s *	degrees/s *	degrees/s *	local flux *	local flux *	local flux *	normalised quaternion	normalised quaternion	normalised quaternion	normalised quaternion
10240257.69042969	18	-13.17821782178218	-17.66336633663366	-468.4981684981685	-826.7399267399267	-4969.597069597069	-0.2758620689655172	-6.820689655172414	-2.568965517241379	-0.3492947582601642	0.6791082787014354	-0.3680003290689929	0.5304534621022469
10240257.69042969	11.66336633663366	-10.64356435643564	-15.12871287128713	-468.4981684981685	-827.106227106227	-3375.457875457875	-0.2948275862068965	-6.825862068965517	-2.55	-0.03452549507421981	0.8552143129408852	0.02116690175773111	0.5166898793288951
10240398.31542969	5.326732673267327	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-3656.776556776556	-0.2844827586206897	-6.820689655172414	-2.546551724137931	0.2991313461939752	0.7763127952559862	0.4323584780750873	0.3477427613662315
10752281.12792969	-1.00990099009901	-13.17821782178218	17.82178217821782	-468.4981684981685	-827.4725274725274	-4031.868131868132	-0.2603448275862069	-6.827586206896552	-2.556896551724138	0.5420415445916466	0.4082180745336385	0.7325831207715852	0.05358114147082033
10752382.69042969	-7.346534653465347	-10.64356435643564	-17.66336633663366	-468.4981684981685	-826.7399267399267	-3281.684981684981	-0.2844827586206897	-6.817241379310345	-2.548275862068965	0.6074772172805436	-0.03657086183221281	0.7628702199876817	-0.2183186432851827
11264312.37792969	-20.01980198019802	-13.17821782178218	-17.66336633663366	-468.4981684981685	-827.106227106227	-3187.912087912088	-0.2706896551724138	-6.824137931034483	-2.568965517241379	0.5103308973378031	-0.4641499553235856	0.5907841378548642	-0.4184510684113387
11264460.81542969	14.1980198019802	-8.10891089108911	-17.66336633663366	-468.4981684981685	-827.106227106227	-3938.095238095238	-0.2655172413793103	-6.834482758620689	-2.553448275862069	0.2209918685708161	-0.7928138672219609	0.1994251653274319	-0.5318255065341116
11264476.44042969	7.861386138613861	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.106227106227	-4219.413919413919	-0.2586206896551724	-6.827586206896552	-2.541379310344828	-0.15694620556346	-0.8322834106729783	-0.2846874647292549	-0.4490270151158122
11776374.87792969	1.524752475247525	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.4725274725274	-4125.641025641025	-0.2689655172413793	-6.817241379310345	-2.536206896551724	-0.4690344317593431	-0.5553127364920971	-0.6590717586840467	-0.1930256030141252
12288304.56542969	-4.811881188118812	-13.17821782178218	-17.66336633663366	-468.4981684981685	-826.7399267399267	-4406.959706959707	-0.2896551724137931	-6.824137931034483	-2.562068965517241	-0.5934987932965149	-0.03588101781673574	-0.7898108145510946	0.1505676330894276
12800273.31542969	-11.14851485148515	-13.17821782178218	-17.66336633663366	-468.4981684981685	-827.4725274725274	-3094.139194139194	-0.2672413793103448	-6.81551724137931	-2.553448275862069	-0.5434888430419023	0.3972170584277488	-0.6480730509411623	0.3561457659818439
12800288.94042969	-17.48514851485148	-8.10891089108911	17.82178217821782	-468.4981684981685	-827.106227106227	-5063.369963369963	-0.2793103448275862	-6.820689655172414	-2.560344827586207	-0.2230822527579192	0.7892012646674128	-0.1888802807167395	0.5401110181325443
13312265.50292969	16.73267326732673	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.4725274725274	-4875.824175824176	-0.2724137931034483	-6.822413793103448	-2.556896551724138	0.1993324933180014	0.7978633354885993	0.3430501857609284	0.4538691717224559
13312335.81542969	10.3960396039604	-13.17821782178218	-17.66336633663366	-468.4981684981685	-827.106227106227	-3187.912087912088	-0.2948275862068965	-6.822413793103448	-2.555172413793104	0.4843941215239421	0.5754212483730863	0.6196936004793425	0.2241262222024819
13824296.75292969	4.059405940594059	-10.64356435643564	-20.1980198019802	-468.4981684981685	-826.7399267399267	-3375.457875457875	-0.2706896551724138	-6.824137931034483	-2.556896551724138	0.6386375653977461	0.180354653727112	0.7441649266094513	-0.07637290714751521
13824476.44042969	-2.277227722772277	-8.10891089108911	-17.66336633663366	-468.4981684981685	-826.7399267399267	-3187.912087912088	-0.2896551724137931	-6.822413793103448	-2.560344827586207	0.6169140366376654	-0.2520750192517687	0.6636875596828961	-0.3396970403032737
14336304.56542969	-8.613861386138614	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-4313.186813186813	-0.2758620689655172	-6.837931034482758	-2.544827586206897	0.348432838930885	-0.6703973821821545	0.3393330005183772	-0.5603704323722597
14336468.62792969	-14.95049504950495	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.4725274725274	-3750.54945054945	-0.2741379310344828	-6.824137931034483	-2.577586206896552	-0.01160908033077434	-0.8333720184376067	-0.07281164870086475	-0.5477725549464528
14848398.31542969	19.26732673267327	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.4725274725274	-3094.139194139194	-0.2637931034482758	-6.825862068965517	-2.563793103448276	-0.3274439052933415	-0.7679364242169282	-0.4044357353012005	-0.3734780760078706
15360320.19042969	12.93069306930693	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.8388278388278	-4594.505494505494	-0.2758620689655172	-6.834482758620689	-2.553448275862069	-0.575417648944557	-0.3733102470543037	-0.7270654793665159	-0.03016251715145109
15360460.81542969	6.594059405940594	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-3750.54945054945	-0.2775862068965517	-6.820689655172414	-2.560344827586207	-0.6029550244100421	0.1144261241242088	-0.7385428703071015	0.2791170531786699
